Cycle,TMPi,NaOCl,Kc
1,25.34381238,0,0
2,13.19722401,1416.7,0
3,6.955639559,1352.3,0
4,10.27211285,1348.7,0
5,11.08467291,1706.4,0
6,15.22062566,1964,0
7,15.85185737,1899.6,0
8,27.96528414,1996.2,0.030100334
9,55.4376267,1996.2,0.030100334
10,59.48147504,2479.2,0.230769231
11,43.51560176,1920,0.347826087
12,23.27084355,1384.5,0.063545151
13,21.70738064,1384.5,0.030100334
14,21.05391455,1481.1,0.063545151
15,22.63237631,1287.9,0.498327759
16,24.94169791,1287.9,0.732441472
17,27.30803344,1287.9,0.83277592
18,34.71510434,1287.9,0.83277592
19,33.99446643,1287.9,1
20,38.19242397,1320.1,1
21,40.77834817,1448.9,0.966555184
22,41.89364041,1320.1,1
23,42.9291155,1545.5,0.966555184
24,40.17653027,1416.7,1
25,42.09250922,1448.9,1
26,7.71450649,1964,0
27,13.02357736,804.9,0
28,15.95203389,1030.3,0
29,24.88316254,740.5,0
30,20.9112903,1642.1,0.003344482
31,19.27365013,418.6,0.003344482
32,20.84657227,676.1,0.003344482
33,21.61172674,611.7,0.003344482
34,18.10704873,1062,0.003344482
35,15.20981164,1094.7,0.003344482
36,18.12514164,1094.7,0.006688963
37,15.17052521,1094.7,0.006688963
38,21.4861028,1159.1,0.006688963
